Assc.	Lineage	Superorder	Orders	Family	OrdersEnglish	MYA	ScientificName	EnglishName	NCBI taxon ID	AssemblyId	asmId	sciName	comName	VGPLineage
GCA_048771995.1	Birds	Core landbirds	Passeriformes (Oscines)	Estrildidae	Songbirds	29.59	Taeniopygia guttata	zebra finch	59729	bTaeGut1	GCA_048771995.1_bTaeGut7.mat	Taeniopygia guttata	zebra finch (bTaeGut7 maternal hap 2025)	birds
GCA_048772815.1	Mammals	Supraprimates (Euarchontoglires)	Rodentia (Sciuridae)	Sciuridae	Squirrels, Chipmunks	55	Callospermophilus lateralis	golden-mantled ground squirrel	76772	mCalLat2	GCA_048772815.1_mCalLat2.hap1	Callospermophilus lateralis	golden-mantled ground squirrel (hap1 2025)	mammals
GCA_048934315.1	Fishes	Agnatha (Jawless Fishes)	Petromyzontiformes	Petromyzontidae	Lampreys	482	Petromyzon marinus	sea lamprey	7757	kPetMar2	GCA_048934315.1_UKy_Petmar_22M1.pri1.0	Petromyzon marinus	sea lamprey (Great Lakes invasive population PM22_M1 primary hap 2025)	otherChordates
GCA_049082185.1	Fishes	Actinopterygii (Ray-finned Fishes)	Blenniiformes	Clinidae	Blennies	70	Cristiceps australis	crested weedfish	879810	fCriAus1	GCA_049082185.1_fCriAus1.1_haplotype_1	Cristiceps australis	crested weedfish (hap1 OG76 2025)	fish
GCA_049190665.1	Fishes	Actinopterygii (Ray-finned Fishes)	Lepidogalaxiiformes	Lepidogalaxiidae	Salamanderfish	230	Lepidogalaxias salamandroides	salamanderfish	89578	fLepSal2	GCA_049190665.1_fLepSal2.hap1	Lepidogalaxias salamandroides	salamanderfish (hap1 2025)	fish
GCA_049354715.1	Mammals	Supraprimates (Euarchontoglires)	Primates (Platyrrhines)	Cebidae	New World Monkeys	30	Callithrix jacchus	common marmoset	9483	mCalJac2	GCA_049354715.1_calJac240_pri	Callithrix jacchus	white-tufted-ear marmoset (240 primary hap 2025)	mammals
GCA_901001165.2	Fishes	Actinopterygii (Ray-finned Fishes)	Salmoniformes	Salmonidae	Salmon/Trout/Chars/Whitefish/Graylings	90	Salmo trutta	brown trout	8032	fSalTru1	GCA_901001165.2_fSalTru1.2	Salmo trutta	river trout (v2 2021)	fish
GCA_901699155.2	Birds	Columbea	Columbiformes	Columbidae	Doves	66.72	Streptopelia turtur	European turtle dove	177155	bStrTur1	GCA_901699155.2_bStrTur1.2	Streptopelia turtur	European turtle dove (v1.2 2021)	birds
GCA_901765095.2	Amphibians	Gymnophiona	Teresomata > (Caeciliidae & Herpelidae)	Siphonopidae	Neotropical tail-less, oviparous, typical caecilians	75	Microcaecilia unicolor	tiny cayenne caecilian	1415580	aMicUni1	GCA_901765095.2_aMicUni1.2	Microcaecilia unicolor	tiny Cayenne caecilian (v2 2021)	amphibians
GCA_902686455.2	Mammals	Supraprimates (Euarchontoglires)	Rodentia (Sciuridae)	Sciuridae	Squirrels, Chipmunks	55	Sciurus vulgaris	Eurasian red squirrel	55149	mSciVul1.2	GCA_902686455.2_mSciVul1.2	Sciurus vulgaris	Eurasian red squirrel (v1.2 2020)	mammals
GCA_903797595.2	Birds	Core landbirds	Passeriformes (Oscines)	Turdidae	Songbirds	29.59	Erithacus rubecula	European robin	37610	bEriRub2	GCA_903797595.2_bEriRub2.2	Erithacus rubecula	European robin (primary hap 2021)	birds
GCA_903992545.1	Mammals	Laurasiatheria	Chiroptera (Yangochiroptera)	Vespertilionidae	Regular bats	65	Pipistrellus pipistrellus	common pipistrelle	59474	mPipPip1	GCA_903992545.1_mPipPip1.1	Pipistrellus pipistrellus	common pipistrelle (2020)	mammals
GCA_905171665.2	Fishes	Actinopterygii (Ray-finned Fishes)	Carangiformes	Carangidae	Jacks	30	Trachurus trachurus	Atlantic horse mackerel	36212	fTraTra1	GCA_905171665.2_fTraTra1.2	Trachurus trachurus	Atlantic horse mackerel (primary hap 2021)	fish
GCA_905319855.2	Mammals	Laurasiatheria	Carnivora (Caniformia)	Canidae	Dog-like (Seals/Bears/Racoons)	57	Canis lupus orion	Greenland wolf	2605939	mCanLor1	GCA_905319855.2_mCanLor1.2	Canis lupus	gray wolf (2021)	mammals
GCA_907165065.1	Birds	Caprimulgimorphae	Caprimulgiformes (Caprimulgidae)	Caprimulgidae	Nightjars	64.11	Caprimulgus europaeus	Eurasian nightjar	111811	bCapEur3	GCA_907165065.1_bCapEur3.1	Caprimulgus europaeus	Eurasian nightjar (primary hap 2021)	birds
GCA_910589615.1	Fishes	Actinopterygii (Ray-finned Fishes)	Scorpaeniformes	Cottidae	Cottids	40	Taurulus bubalis	long-spined sea scorpion	61643	fTauBub2	GCA_910589615.1_fTauBub2.1	Taurulus bubalis	longspined bullhead (.1 primary hap 2021)	fish
GCA_910591455.2	Fishes	Actinopterygii (Ray-finned Fishes)	Perciformes	Pholidae	Perch-fishes	50	Pholis gunnellus	rock gunnel	56726	fPhoGun1	GCA_910591455.2_fPhoGun1.2	Pholis gunnellus	rock gunnel (primary hap 2021)	fish
GCA_918807975.1	Invertebrates	Tunicata	Enterogona	Polyclinidae	Tunicates	750	Aplidium turbinatum	clonial sea squirt	2771288	kaAplTurb1	GCA_918807975.1_kaAplTurb1.1	Aplidium turbinatum	tunicate A.turbinatum (primary hap 2021)	otherChordates
GCA_933228915.1	Fishes	Actinopterygii (Ray-finned Fishes)	Atheriniformes	Telmatherinidae	Silversides	75	Telmatherina bonti	telmatherina bonti	446457	fTelBon1	GCA_933228915.1_fTelBon1.1	Telmatherina bonti	bonti-bonti (primary hap 2022)	fish
GCA_936440315.1	Fishes	Actinopterygii (Ray-finned Fishes)	Cypriniformes	Cyprinidae	Carps/Minnows/Loaches	175	Barbus barbus	barbel	40830	fBarBab1	GCA_936440315.1_fBarBab1.1	Barbus barbus	barbel (primary hap 2022)	fish
GCA_944039275.1	Fishes	Actinopterygii (Ray-finned Fishes)	Cypriniformes	Cyprinidae	Carps/Minnows/Loaches	175	Danio rerio	zebrafish	7955	fDanRer4	GCA_944039275.1_fDanRer4.1	Danio rerio	zebrafish (WGS:CALUEM01 primary hap 2022)	fish
GCA_946808225.1	Fishes	Actinopterygii (Ray-finned Fishes)	Siluriformes	Siluridae	Catfish	150	Silurus aristotelis	Aristotle's catfish	933932	fSilAri1	GCA_946808225.1_fSilAri3.1	Silurus aristotelis	Aristotle's catfish (primary hap 2022)	fish
GCA_947034865.1	Fishes	Actinopterygii (Ray-finned Fishes)	Cypriniformes	Nemacheilidae	Carps/Minnows/Loaches	175	Barbatula barbatula	stone loach	135647	fBarBar1	GCA_947034865.1_fBarBar1.1	Barbatula barbatula	stone loach (primary hap 2022)	fish
GCA_947247035.1	Reptiles	Squamata	Serpentes (Viperidae)	Viperidae	Snakes (Cobras/Rattlesnakes)	75	Vipera ursinii	Hungarian meadow viper	103942	rVipUrs1	GCA_947247035.1_rVipUrs1.1	Vipera ursinii	meadow viper (primary hap 2022)	reptiles
GCA_947561715.1	Invertebrates	Tunicata	Enterogona	Ascidiidae	Tunicates	750	Ascidia mentula	pink sea squirt	38561	kaAscMent1	GCA_947561715.1_kaAscMent1.1	Ascidia mentula	pink sea squirt (2022)	otherChordates
